;enviado email;   alertas;;ESTADO ;DISTRIBUIDORA ;Cidade ;TEL ;CONTATO ;E MAIL;
s;31/mar;;;RJ;farmarca;SÃO PAULO;011 3283 3737;;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;FARMAVIP;;LIMEIRA;AMADEU;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;five med;cotia;11 3565 7555;;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;GLT Distribuidora;BARRETOS;017 3322 0475 ;LUIZ ;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;JN Distribuidora;ARAÇATUBA;(18) 2102-0214;;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;maxifarma;;17 3121 1800;;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Navarromed-RJ;V.REDONDA ;(11) 3948-0881;;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Novafitos;;;;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;SERVIMED COMPL  ;BAURU;14 2106 2000;014 2106 2011;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Solfarma Como de Prod Farm Ltda;BEBEDOURO; (17) 3345-9300;;thiagosampaio60@gmail.com;
s;31/mar;cont;;RJ;centrofarma;Evelyn;;;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;FAIMED COMÉRCIO DE MEDICAMENTOS;Palmas, TO;(63) 3212-1294;;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Imperial Medicamentos Ltda;Araguaína - TO;(63) 3413-2340;;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;palmed   TO;Palmas, TO;(63) 3232-5739;joao ;thiagosampaio60@gmail.com;
s;31/mar;;;RJ;Profarm Comércio de Medicamentos e Material Hospit;TO;(63) 3228-2520;luiz ;thiagosampaio60@gmail.com;
s;;;;;Retorno aos emails ;;;;;
