;enviado email;         Inviável ;;ESTADO ;DISTRIBUIDORA ;Cidade ;TEL ;CONTATO ;E MAIL
ok;E;;;SC;STYLOFARMA;Blumenau;47 3327 8012;LEONARDO;comercial.sup@stylofarma.com.br
ok;E;;;SC;Sulmedic Comércio de Medicamentos;joinville;47) 3473-8845;vanessa;coord.vendas2@sulmedic.com
ok;E;;;SC;Werbran Distribuidora De Medicamentos Ltda;fco beltrao;(46) 3211-5000;ediane;ediane@werbran.com.br
ok;E;;;SC;;;;;rui.junior@clamed.com.br
;E;;;SE;Promédh Dist. de Prod. Farm. Med. e Hospitalaes Ltda.;Aracaju;(79) 3019-6888;;GERENCIA@DISTRIBUIDORADPA.COM.BR
;E;;;SE;SANFARMA;Aracaju, SE; (79) 3231-4232;;sanfarmadistribuidora@gmail.com
;E;;;SE;Somed Distribuidora de Medicamentos;Aracaju;(79) 3021-0765;;gerenciacomercial@somedltda.com.br
;E;;;SP;Disdrog Comercial;FERNANDOPOLI ; (17) 3462-7366;delcio;delcio.azevedo@disdrog.com.br
;E;;;SP;DISMAIS  ANDORINHA MED;SÃO PAULO;11 3014 0509  0800169663;ANDRESSA;compras@andorinhamed.com.br
;E;;;SP;DIST ELITE;SÃO PAULO;11 4469 4400;juliao;juliao.neto@elitedistribuidora.com.br
;E;;;SP;DISTR NAVARRO;SÃO PAULO;11 3946 2172  11 3948 0881;ELISANA;elisana@navarromed.com.br
;E;;;SP;DROGACENTER;ribeirao ;16 3603 0111 rm 173;romulo ;romulo.trindade@drogacenter.com.br
ok;E;;;SP;Expressa Distribuidora de Medicamentos;Recife - PE;(11) 2184-0700;adriana badaro;adriana.badaro@expressa.com
ok;E;;;SP;F1 Farma;BEBEDOURO;17 3344 8080;;brunoueda@f1farma.com.br
ok;E;;;SP;FARMA E CIA;SÃO PAULO;11 3628 1344;CELIA;administrativo@farmaecia.com.br
ok;E;;;SP;FARMAVIP;;LIMEIRA;AMADEU;amadeu@farmavip.com.br
ok;E;;;SP;GLT Distribuidora;BARRETOS;017 3322 0475 ;LUIZ ;SUPERVISAO@GRUPOGLT.COM.BR
ok;E;;;SP;JN Distribuidora;ARAÇATUBA;(18) 2102-0214;;denise.santos@jndistribuidora.com
ok;E;;;SP;Navarromed-RJ;V.REDONDA ;(11) 3948-0881;;elisana@navarromed.com.br
ok;E;;;SP;SERVIMED COMPL  ;BAURU;14 2106 2000;014 2106 2011;compras@servimed.com.br
ok;E;;;SP;Solfarma Como de Prod Farm Ltda;BEBEDOURO; (17) 3345-9300;;luciano.ferreira@solfarma.com.br
ok;E;;;SP;;;;;compras@novafitos.com.br
ok;E;;;SP;;;;;joao.marchiori@elitedistribuidora.com.br
;E;;;TO;palmed   TO;Palmas, TO;(63) 3232-5739;joao ;joao.marcos@grupopalmed.com.br
;E;;;TO;PALMED PALMAS MED ;Palmas, TO;63-3026.2048 3215 8641;;edsom@palmed.com.br
ok;E;;;TO;FAIMED COMÉRCIO DE MEDICAMENTOS;Palmas, TO;(63) 3212-1294;;faimed.palmas@hotmail.com
ok;E;;;TO;Imperial Medicamentos Ltda;Araguaína - TO;(63) 3413-2340;;imperialmedic@uol.com.br
ok;E;;;TO;PALMED PALMAS MEDICAMENTOS;Palmas, TO;(63) 3215-8641    3026 2048  56;;edsom@palmed.com.br
ok;E;;;TO;Profarm Comércio de Medicamentos e Material Hospit;TO;(63) 3228-2520;luiz ;compras@profarmto.com.br
ok;E;;;TO;;;;;COMPRAS1@CENTROFARMAMT.COM.BR
