enviado email;ESTADO ;DISTRIBUIDORA ;Cidade ;TEL ;CONTATO ;E MAIL;;;;;
E;SC;Sulmedic Comércio de Medicamentos;joinville;47) 3473-8845;vanessa;thiagosampaio60@gmail.com;;;;;
E;SC;Werbran Distribuidora De Medicamentos Ltda;fco beltrao;(46) 3211-5000;ediane;thiagosampaio60@gmail.com;;;;;
E;SC;;;;;thiagosampaio60@gmail.com;;;;;
E;SE;Promédh Dist. de Prod. Farm. Med. e Hospitalaes Ltda.;Aracaju;(79) 3019-6888;;thiagosampaio60@gmail.com;;;;;
E;SE;SANFARMA;Aracaju, SE; (79) 3231-4232;;thiagosampaio60@gmail.com;;;;;
E;SE;Somed Distribuidora de Medicamentos;Aracaju;(79) 3021-0765;;thiagosampaio60@gmail.com;;;;;
E;SP;Disdrog Comercial;FERNANDOPOLI ; (17) 3462-7366;delcio;thiagosampaio60@gmail.com;;;;;
E;SP;DISMAIS  ANDORINHA MED;SÃO PAULO;11 3014 0509  0800169663;ANDRESSA;thiagosampaio60@gmail.com;;;;;
E;SP;DIST ELITE;SÃO PAULO;11 4469 4400;juliao;thiagosampaio60@gmail.com;;;;;
E;SP;DISTR NAVARRO;SÃO PAULO;11 3946 2172  11 3948 0881;ELISANA;thiagosampaio60@gmail.com;;;;;
E;SP;DROGACENTER;ribeirao ;16 3603 0111 rm 173;romulo ;thiagosampaio60@gmail.com;;;;;
E;SP;Expressa Distribuidora de Medicamentos;Recife - PE;(11) 2184-0700;adriana badaro;thiagosampaio60@gmail.com;;;;;
E;SP;F1 Farma;BEBEDOURO;17 3344 8080;;thiagosampaio60@gmail.com;;;;;
E;SP;FARMA E CIA;SÃO PAULO;11 3628 1344;CELIA;thiagosampaio60@gmail.com;;;;;
E;SP;FARMAVIP;;LIMEIRA;AMADEU;thiagosampaio60@gmail.com;;;;;
E;SP;GLT Distribuidora;BARRETOS;017 3322 0475 ;LUIZ ;thiagosampaio60@gmail.com;;;;;
E;SP;JN Distribuidora;ARAÇATUBA;(18) 2102-0214;;thiagosampaio60@gmail.com;;;;;
E;SP;Navarromed-RJ;V.REDONDA ;(11) 3948-0881;;thiagosampaio60@gmail.com;;;;;
E;SP;SERVIMED COMPL  ;BAURU;14 2106 2000;014 2106 2011;thiagosampaio60@gmail.com;;;;;
E;SP;Solfarma Como de Prod Farm Ltda;BEBEDOURO; (17) 3345-9300;;thiagosampaio60@gmail.com;;;;;
E;SP;;;;;thiagosampaio60@gmail.com;;;;;
E;SP;;;;;thiagosampaio60@gmail.com;;;;;
E;TO;palmed   TO;Palmas, TO;(63) 3232-5739;joao ;thiagosampaio60@gmail.com;;;;;
E;TO;PALMED PALMAS MED ;Palmas, TO;63-3026.2048 3215 8641;;thiagosampaio60@gmail.com;;;;;
E;TO;FAIMED COMÉRCIO DE MEDICAMENTOS;Palmas, TO;(63) 3212-1294;;thiagosampaio60@gmail.com;;;;;
E;TO;Imperial Medicamentos Ltda;Araguaína - TO;(63) 3413-2340;;thiagosampaio60@gmail.com;;;;;
E;TO;PALMED PALMAS MEDICAMENTOS;Palmas, TO;(63) 3215-8641    3026 2048  56;;thiagosampaio60@gmail.com;;;;;
E;TO;Profarm Comércio de Medicamentos e Material Hospit;TO;(63) 3228-2520;luiz ;thiagosampaio60@gmail.com;;;;;
E;TO;;;;;thiagosampaio60@gmail.com;;;;;
